Gripe Sazonal (Influenza) | > 65 anos, crianças < 2 anos, grávidas, imunodeprimidos. | Temp > 39.5ºC, HR > 110 bpm, O2 < 92%, BP sistólica < 90. | Febre súbita, dores musculares intensas (mialgias), fadiga, tosse seca, arrepios. | Sintomas não melhoram após 3 a 5 dias ou agravam subitamente. | Evitar Ibuprofeno/AINEs em doentes com asma grave ou úlcera gástrica ativa; evitar Paracetamol em doentes com insuficiência hepática. | Qual é a sua idade? Mediu a saturação de oxigénio ou a frequência cardíaca? Tem alguma doença crónica (asma, problemas de fígado) ou alergia a medicamentos? | Se O2 < 92% ou dificuldade respiratória severa, contactar 112 ou ir à Urgência. Caso contrário: Repouso, hidratação e Paracetamol 1000mg (se não houver contraindicação hepática) para febre/dor.
Pneumonia / Infeção Respiratória Baixa | Idosos (> 65 anos), fumadores, doentes com DPOC ou insuficiência cardíaca. | O2 < 90%, HR > 120 bpm, frequência respiratória > 24 cpm, febre persistente. | Falta de ar aguda (dispneia), dor no peito ao inspirar, tosse com expetoração purulenta ou com sangue. | Febre alta que persiste mais de 48h com dificuldade respiratória crescente. | Não suprimir a tosse produtiva com antitússicos sem avaliação médica. | Sente dor no peito ao puxar o ar? A sua tosse tem expetoração com sangue? Tem medidor de oxigénio em casa, qual o valor? | SUSPEITA GRAVE. Encaminhar imediatamente para Serviço de Urgência. É impossível e inseguro tratar em domicílio.
Constipação Comum | Crianças em idade escolar, adultos com stress elevado (imunidade baixa). | Temp > 39ºC (raro em constipações), dor no peito (indica complicação). | Nariz entupido, rinorreia (corrimento claro), espirros, dor de garganta ligeira. | Sintomas persistentes por mais de 10 dias sem melhoria. | Descongestionantes nasais sistémicos (ex: Pseudoefedrina) são contraindicados em doentes com Hipertensão Arterial (HTA) não controlada. | O corrimento nasal é claro ou verde/amarelado? Tem tensão arterial alta? Tem tido febres muito altas acompanhadas de tremores? | Lavagem nasal com soro fisiológico. Se não tiver hipertensão, pode usar descongestionante nasal (máximo 5 dias). Paracetamol para o desconforto geral.
Crise de Asma | Doentes com diagnóstico prévio de asma, crianças, historial de atopias. | O2 < 90%, HR > 120 bpm, incapacidade de falar frases completas sem pausar para respirar. | Sibilos (pieira/assobio ao respirar), aperto no peito, tosse seca agravada à noite ou ao esforço. | Crise que não reverte após 15-20 minutos da toma da medicação de resgate (bomba SOS). | Contraindicada a toma de AINEs (como Ibuprofeno) pois podem desencadear broncoespasmo severo. | Tem diagnóstico de asma? Já usou o seu inalador de alívio (ex: Salbutamol)? Consegue dizer uma frase inteira sem parar para respirar? | Se não reverte com o inalador de SOS ou se O2 < 92%, contactar 112 imediatamente. Repousar sentado e manter a calma. Não usar anti-inflamatórios para dores associadas.
Gastroenterite Aguda | Extremos de idade (bebés < 1 ano e idosos > 75 anos) por alto risco de desidratação. | Sinais de choque hipovolémico: BP sistólica < 90, HR > 115 bpm, ausência de urina há > 12 horas. | Diarreia aquosa (múltiplas dejeções), náuseas, vómitos, cólicas abdominais. | Incapacidade de reter líquidos (vómitos contínuos) por mais de 8-12 horas. | Fármacos antidiarreicos (como Loperamida) são contraindicados se houver febre alta ou sangue nas fezes (risco de megacólon tóxico). | Consegue beber pequenas quantidades de água sem vomitar logo a seguir? Há quanto tempo não urina? Reparou em sangue vivo nas fezes? | Se sinais de desidratação severa ou sangue nas fezes: ir à Urgência. Caso contrário: Soro de reidratação oral (aos golinhos), dieta branda adstringente (arroz, maçã cozida). Evitar laticínios.
Enfarte Agudo do Miocárdio (Ataque Cardíaco) | Homens > 45 anos, mulheres > 55 anos, diabéticos, hipertensos, fumadores, obesos. | HR irregular ou > 120 bpm / < 50 bpm, BP sistólica > 180 ou < 90, suores frios (diaforese). | Dor opressiva no centro do peito, dor que irradia para o braço esquerdo, costas ou maxilar, náuseas, falta de ar. | Dor torácica súbita e intensa que dura mais de 10 a 15 minutos em repouso. | Não dar nada via oral (risco de aspiração) exceto medicação prescrita pelo 112 (ex: Aspirina se indicado pelo médico ao telefone). | A dor no peito parece um aperto ou peso forte? A dor desce pelo braço esquerdo ou sobe para o pescoço? Tem suores frios e náuseas? | EMERGÊNCIA MÉDICA IMEDIATA. Ligar 112. Não deixar o doente conduzir. Manter o doente em repouso absoluto até chegada do socorro.
Crise Hipertensiva | Doentes com HTA crónica, não cumpridores da medicação, insuficientes renais. | BP sistólica > 180 mmHg ou BP diastólica > 110 mmHg. | Dor de cabeça latejante e intensa na nuca, zumbidos nos ouvidos, visão turva, tonturas. | Pressão arterial que se mantém > 180/110 após 30 minutos de repouso absoluto. | Não recomendar AINEs (Ibuprofeno) pois podem aumentar ainda mais a tensão arterial. | Qual foi o valor exato da sua tensão arterial e como a mediu? Tem visão turva, confusão mental ou dor no peito? Toma medicação para a tensão? | Se houver dor no peito, falta de ar ou alterações visuais: contactar 112. Se assintomático mas com valores muito altos, repousar 30 min num quarto escuro e voltar a medir. Consultar médico para ajuste terapêutico.
Cólica Biliar (Pedras na Vesícula) | Mulheres > 40 anos, obesidade, perda rápida de peso recente, grávidas. | Temp > 38.5ºC com tremores (suspeita de infeção/colangite), HR > 100 bpm devido à dor excruciante. | Dor muito intensa no quadrante superior direito do abdómen, dor que irradia para o ombro direito, náuseas, vómitos biliosos (amarelos). | Dor contínua, em crescendo, que não cede com analgésicos comuns após 2 a 4 horas. | Contraindicado o consumo de alimentos gordurosos (despoleta maior contração da vesícula). | A dor localiza-se na parte superior direita da barriga, debaixo das costelas? A dor começou após uma refeição pesada ou rica em gorduras? A sua pele ou olhos estão amarelados (icterícia)? | Se pele amarela ou febre alta com arrepios: Urgência imediata. Caso contrário: Dieta com restrição total de gorduras, analgésicos comuns (Paracetamol). Marcar consulta médica para ecografia.
Cólica Renal (Pedras nos Rins) | Homens 30-50 anos, histórico familiar de litíase renal, baixa ingestão de água. | Febre > 38ºC associada à dor (sinal de infeção urinária alta / pielonefrite), ausência total de urina (anúria). | Dor súbita, excruciante e em pontada na região lombar (fundo das costas) que irradia para a virilha/genitais, sangue na urina (hematúria), vómitos. | Dor insuportável que não permite ao doente encontrar uma posição de alívio. | Evitar forçar a ingestão massiva de líquidos durante a crise aguda extrema (pode aumentar a pressão e a dor renal). | A dor desce das costas para a zona genital? Tem vontade frequente de urinar, mas sai pouco e arde? A urina está avermelhada? Tem febre? | Se febre associada ou incapacidade total de urinar: Urgência. Para alívio da dor em casa: Aplicação de calor local forte na lombar, AINEs (Ibuprofeno) se não houver contraindicação gástrica ou renal prévia.
Cistite (Infeção Urinária Baixa) | Mulheres sexualmente ativas, menopausa, diabéticos, doentes algaliados. | Temp > 38ºC ou dor lombar (sinais de alarme para subida da infeção para os rins - Pielonefrite). | Ardor ou dor ao urinar (disúria), vontade urgente e muito frequente de ir à casa de banho, urina turva ou com mau cheiro, desconforto pélvico. | Sintomas que pioram progressivamente ao longo de 2 a 3 dias ou aparecimento repentino de febre. | Não fazer automedicação com antibióticos de toma anterior. | Sente ardor intenso ao urinar? A urina tem mau cheiro ou cor rosada? Tem dor na zona inferior das costas acompanhada de febre e tremores? | Se febre ou dor nas costas: Avaliação médica nas próximas 12-24h (Urgência ou Médico Assistente). Tratamento base de apoio: Reforço massivo de ingestão de água, analgésico (Paracetamol) para dor. Antibiótico apenas com receita.
Reação Alérgica Grave (Anafilaxia) | Pessoas com alergias conhecidas (alimentos, insetos, fármacos), asmáticos. | O2 < 92%, HR > 120 bpm (taquicardia), BP sistólica < 90 (choque anafilático). | Inchaço rápido dos lábios, língua ou garganta (angioedema), falta de ar estridente (estridor), manchas urticariformes generalizadas, sensação de desmaio iminente. | Evolução incrivelmente rápida (minutos) após o contacto com o alergénio. | Em caso de choque, não levantar o doente (manter deitado com as pernas elevadas). | Sente a língua ou a garganta a inchar? Tem dificuldade em puxar o ar? Sentiu tonturas intensas ou sensação de desmaio após comer algo ou ser picado? | EMERGÊNCIA MÉDICA IMEDIATA. Ligar 112. Se o doente tiver uma caneta de adrenalina auto-injetável (EpiPen) prescrita, deve administrá-la imediatamente na coxa.
Enxaqueca Clássica (Migrânea) | Mulheres 20-45 anos, histórico familiar, stress agudo, privação de sono. | Sinais de "Red Flag" neurológica: Paralisia facial, dificuldade em falar, perda de força num braço/perna, confusão mental. | Dor de cabeça pulsátil/latejante unilateral (um só lado), intolerância extrema à luz (fotofobia) e ao som, náuseas intensas, alterações visuais prévias (aura). | Crise que dura entre 4 a 72 horas e impede as atividades diárias normais. | Uso abusivo de analgésicos (> 10 dias/mês) pode causar "Cefaleia de Rebound" (piora a condição crónica). | Esta dor é a "pior dor de cabeça da sua vida" ou surgiu como uma pancada repentina? Tem dormência no braço ou face? A luz ou o barulho pioram a dor? | Se dor súbita "tipo trovoada" ou paralisias: contactar 112 (suspeita de AVC/Aneurisma). Caso crise habitual: Repouso imediato em quarto totalmente escuro e silencioso. Toma precoce de analgésico/AINEs (Paracetamol ou Ibuprofeno).
Lombalgia Mecânica (Dor de Costas Comum) | Trabalhadores braçais, pessoas com má postura no computador, excesso de peso. | Sinais de compressão medular: Perda de controlo de urina/fezes, dormência na zona genital (anestesia em sela), fraqueza severa nas pernas. | Dor fundo das costas tipo aperto ou cãibra, rigidez muscular, piora ao curvar ou levantar pesos, alivia com algumas posturas de descanso. | Dor lombar que persiste mais de 4 a 6 semanas sem qualquer alívio exige exames. | Repouso absoluto prolongado na cama é contraindicado pois agrava a rigidez muscular. | Sofreu algum traumatismo violento (acidente/queda)? Tem sentido dormência/formigueiros a descer pela perna abaixo do joelho? Consegue controlar a urina? | Se perda de força na perna ou descontrolo de esfíncteres: Urgência imediata. Caso contrário: Aplicação de calor local (20 min). Paracetamol ou Ibuprofeno (se não contraindicado). Manter atividade ligeira (caminhar).
Torção do Tornozelo (Entorse Ligeira) | Desportistas, uso de calçado inadequado (saltos altos), marcha irregular. | Incapacidade total de suportar o próprio peso por mais de 4 passos. Osso visivelmente deformado ou fora do sítio. | Dor forte ao mover a articulação, inchaço (edema) rápido, nódoa negra (equimose) ao fim de algumas horas. | Dor que não mostra sinais de alívio e inchaço que aumenta muito nas primeiras 24 horas. | Não aplicar fontes de calor nas primeiras 48h (aumenta o inchaço e a hemorragia interna). Massagens agressivas estão contraindicadas. | Consegue dar quatro passos seguidos a apoiar o pé no chão sem apoio? Consegue ver alguma deformidade óbvia no osso? Sentiu um estalo forte na altura da lesão? | Se incapacidade total de marcha ou deformidade: Radiografia na Urgência. Tratamento base (Método RICE): Descanso (Rest), Gelo a cada 2h (Ice), Compressão com ligadura elástica (Compression) e Elevação do membro (Elevation). Analgesia com Ibuprofeno/Paracetamol.
Ansiedade e Ataque de Pânico | Indivíduos com histórico de transtornos de ansiedade, eventos recentes de trauma ou stress extremo. | Atenção ao diagnóstico diferencial com Enfarte: BP e HR podem estar altos, mas sem dor torácica irradiada e não piora com esforço físico. | Palpitações muito aceleradas (taquicardia), respiração curta e muito rápida (hiperventilação), suores, tremores, sensação de asfixia ou de "nó na garganta", medo de morrer ou perder o controlo. | Pico de intensidade máxima atingido em 10 a 15 minutos e declínio progressivo posterior. | Não partilhar ou automedicar com calmantes/ansiolíticos de terceiros (Benzodiazepinas como o Diazepam) sem indicação médica estrita. | Tem dor no peito que aperta ou desce pelo braço? Tem historial de problemas no coração? É a primeira vez que sente isto ou já teve crises idênticas sob stress? | Se dor no peito característica ou se é homem >45 a sentir isto pela primeira vez: contactar 112 por precaução. Caso seja crise de pânico reconhecida: Sentar em ambiente seguro, praticar respiração lenta pelo diafragma (inspirar 4s, expirar 6s). Beber água.
